# spectrum_id category
1177 Grozd_8
1178 Grozd_98
1179 Grozd_76
1180 Šum
1181 Grozd_99
1182 Grozd_25
1183 Grozd_148
1184 Grozd_100
1185 Grozd_110
1186 Grozd_9
1187 Grozd_117
1188 Grozd_25
1189 Grozd_80
1190 Grozd_1
1191 Grozd_168
1192 Grozd_65
1193 Grozd_85
1194 Grozd_89
1195 Grozd_170
1196 Grozd_148
1197 Grozd_152
1198 Grozd_23
1199 Grozd_135
1200 Grozd_103
1201 Grozd_12
1202 Grozd_154
1203 Grozd_3
1204 Grozd_11
1205 Grozd_35
1206 Grozd_130
1207 Grozd_36
1208 Grozd_174
1209 Grozd_152
1210 Grozd_7
1211 Grozd_105
1212 Grozd_120
1213 Šum
1214 Grozd_82
1215 Grozd_26
1216 Grozd_35
1217 Grozd_7
1218 Grozd_48
1219 Grozd_89
1220 Grozd_37
1221 Grozd_70
1222 Grozd_37
1223 Grozd_1
1224 Grozd_11
1225 Grozd_8
1226 Grozd_89
1227 Grozd_61
1228 Grozd_148
1229 Grozd_36
1230 Grozd_56
1231 Grozd_9
1232 Grozd_79
1233 Grozd_153
1234 Grozd_65
1235 Grozd_58
1236 Grozd_78
1237 Grozd_128
1238 Grozd_34
1239 Šum
1240 Grozd_90
1241 Grozd_14
1242 Grozd_34
1243 Šum
1244 Grozd_45
1245 Grozd_37
1246 Šum
1247 Grozd_47
1248 Grozd_148
1249 Grozd_14
1250 Grozd_89
1251 Grozd_148
1252 Grozd_145
1253 Grozd_14
1254 Šum
1255 Grozd_99
1256 Grozd_44
1257 Grozd_90
1258 Grozd_47
1259 Grozd_134
1260 Grozd_17
1261 Grozd_11
1262 Grozd_61
1263 Grozd_29
1264 Grozd_72
1265 Grozd_71
1266 Grozd_164
1267 Grozd_85
1268 Grozd_119
1269 Grozd_85
1270 Grozd_1
1271 Grozd_26
1272 Grozd_20
1273 Šum
1274 Grozd_98
1275 Grozd_48
1276 Grozd_37
1277 Grozd_149
1278 Grozd_41
1279 Grozd_3
1280 Grozd_16
1281 Grozd_36
1282 Grozd_90
1283 Grozd_77
1284 Grozd_37
1285 Grozd_107
1286 Grozd_8
1287 Grozd_82
1288 Grozd_189
1289 Grozd_20
1290 Grozd_14
1291 Grozd_85
1292 Grozd_171
1293 Grozd_3
1294 Grozd_3
1295 Grozd_150
1296 Šum
1297 Grozd_34
1298 Grozd_11
1299 Grozd_68
1300 Grozd_65
1301 Grozd_65
1302 Grozd_119
1303 Grozd_125
1304 Grozd_105
1305 Grozd_80
1306 Grozd_128
1307 Grozd_136
1308 Grozd_35
1309 Grozd_107
1310 Grozd_61
1311 Grozd_65
1312 Grozd_41
1313 Grozd_34
1314 Grozd_12
1315 Grozd_172
1316 Šum
1317 Grozd_3
